Country,Year,Population,WorldBank_Population,Urban Population,WorldBank_Urban_Population,Population Difference,Population Difference %,Urban Population Difference,Urban Population Difference %
Albania,1960,1636090,1608800.0,502359,493982.0,27290.0,1.682029282964908,8377.0,1.6815528017014254
Albania,1970,2150707,2135479.0,682607,677801.0,15228.0,0.7105617908322224,4806.0,0.7065527400603349
Albania,1980,2682690,2671997.0,905234,902120.0,10693.0,0.39938842363708654,3114.0,0.3445921496286837
Albania,1990,3286073,3286542.0,1195379,1197222.0,-469.0,0.014271336446756733,-1843.0,0.15405828217910134
Albania,2000,3129243,3089027.0,1303137,1289391.0,40216.0,1.2934787328308355,13746.0,1.0604321341948861
Albania,2010,2948023,2913021.0,1533860,1519519.0,35002.0,1.1943947187565902,14341.0,0.9393527629554012
Albania,2020,2877797,2837849.0,1827362,1762645.0,39948.0,1.3978472424639314,64717.0,3.6053968696996974
Albania,2020,2877797,2837849.0,1827362,1762645.0,39948.0,1.3978472424639314,64717.0,3.6053968696996974
Argentina,1960,20481779,20349744.0,15177946,14979650.0,132035.0,0.6467307134245274,198296.0,1.3150650336983094
Argentina,1970,23880561,23842803.0,18909965,18807203.0,37758.0,0.15823695915484917,102762.0,0.544908355791718
Argentina,1980,27896528,28024803.0,23296076,23228918.0,-128275.0,0.4587694810053788,67158.0,0.28869643701619824
Argentina,1990,32618651,32637657.0,28469564,28389540.0,-19006.0,0.058250307387908,80024.0,0.28148174828783795
Argentina,2000,36870787,37070774.0,33033759,33045629.0,-199987.0,0.5409325886425362,-11870.0,0.03592648285422982
Argentina,2010,40895752,40788453.0,37451589,37055902.0,107299.0,0.2627166414853398,395687.0,1.0621401813141178
Argentina,2020,45195774,45376763.0,41919857,41796990.0,-180989.0,0.39965536131553875,122867.0,0.2935299271364102
Argentina,2020,45195774,45376763.0,41919857,41796990.0,-180989.0,0.39965536131553875,122867.0,0.2935299271364102
China,1960,660408056,667070000.0,106561743,108085352.0,-6661944.0,1.003699303335226,-1523609.0,1.4196409226968574
China,1970,827601394,818315000.0,143513192,142386810.0,9286394.0,1.1284162468825862,1126382.0,0.7879552235889806
China,1980,1000089235,981235000.0,192392094,189947471.0,18854235.0,1.9031953142187248,2444623.0,1.2787706132374765
China,1990,1176883674,1135185000.0,310022147,300165618.0,41698674.0,3.6070445890224447,9856529.0,3.2306544199554708
China,2000,1290550765,1262645000.0,460377048,452999147.0,27905765.0,2.1859479310236125,7377901.0,1.6155229445190433
China,2010,1368810615,1337705000.0,669353557,658498663.0,31105615.0,2.2985727351881544,10854894.0,1.6349551307750194
China,2020,1439323776,1411100000.0,875075919,866810508.0,28223776.0,1.9803213990592254,8265411.0,0.9490183598519997
China,2020,1439323776,1411100000.0,875075919,866810508.0,28223776.0,1.9803213990592254,8265411.0,0.9490183598519997
Croatia,1960,4192635,4140181.0,1264238,1248430.0,52454.0,1.2589741571156738,15808.0,1.2582641240307118
Croatia,1970,4423073,4412252.0,1777916,1773549.0,10821.0,0.2449485446205997,4367.0,0.24592668096123713
Croatia,1980,4598130,4599782.0,2174204,2175007.0,-1652.0,0.03592119602796809,-803.0,0.03692623788544635
Croatia,1990,4776374,4777368.0,2437730,2438225.0,-994.0,0.020808600441586136,-495.0,0.020303714862011647
Croatia,2000,4428075,4468302.0,2365833,2387324.0,-40227.0,0.9043456679050359,-21491.0,0.9042831953583692
Croatia,2010,4328165,4295427.0,2387179,2369143.0,32738.0,0.7592659764051917,18036.0,0.7584011343218563
Croatia,2020,4105267,4047680.0,2368833,2329561.0,57587.0,1.4126671006201807,39272.0,1.67172016650796
Croatia,2020,4105267,4047680.0,2368833,2329561.0,57587.0,1.4126671006201807,39272.0,1.67172016650796
Germany,1960,73414239,72814900.0,52406122,51978188.0,599339.0,0.8197258140185041,427934.0,0.8199201584989161
Germany,1970,78578385,78169289.0,56788207,56496072.0,409096.0,0.521980313404842,292135.0,0.5157555886461528
Germany,1980,78283100,78288576.0,57036935,57028530.0,-5476.0,0.0069948794569970624,8405.0,0.014737151161396659
Germany,1990,79053984,79433029.0,57849875,58079842.0,-379045.0,0.47832941365359694,-229967.0,0.396735204658526
Germany,2000,81400882,82211508.0,61087413,61629857.0,-810626.0,0.9909102849729169,-542444.0,0.8840548685608798
Germany,2010,80827002,81776930.0,62261612,62940432.0,-949928.0,1.1683948700576319,-678820.0,1.0843592936869306
Germany,2020,83783942,83160871.0,63930305,64410589.0,623071.0,0.7464394835675427,-480284.0,0.7484504510308304
Germany,2020,83783942,83160871.0,63930305,64410589.0,623071.0,0.7464394835675427,-480284.0,0.7484504510308304
India,1960,450547679,445954579.0,80565723,79932899.0,4593100.0,1.0246711503542025,632824.0,0.7885725025103331
India,1970,555189792,557501301.0,109388950,110162257.0,-2311509.0,0.41548081305617135,-773307.0,0.7044434057700261
India,1980,698952844,696828385.0,160941941,160953420.0,2124459.0,0.3044114587387104,-11479.0,0.00713213136364522
India,1990,873277798,870452165.0,222296728,222374415.0,2825633.0,0.3240906631137587,-77687.0,0.03494132741597761
India,2000,1056575549,1059633675.0,291350282,293168849.0,-3058126.0,0.28901924869409795,-1818567.0,0.6222437910248655
India,2010,1234281170,1240613620.0,380744554,383721793.0,-6332450.0,0.5117348846978663,-2977239.0,0.7789064912232166
India,2020,1380004385,1396387127.0,483098640,487702168.0,-16382742.0,1.1801463827555456,-4603528.0,0.9483980569575298
India,2020,1380004385,1396387127.0,483098640,487702168.0,-16382742.0,1.1801463827555456,-4603528.0,0.9483980569575298
Mexico,1960,37771859,36268055.0,19374402,18407126.0,1503804.0,4.062144102436424,967276.0,5.120364639566722
Mexico,1970,51493565,50289306.0,30708514,29681251.0,1204259.0,2.3663293993740853,1027263.0,3.4021096124484007
Mexico,1980,67761372,67705186.0,46013540,44914943.0,56186.0,0.08295183819463398,1098597.0,2.4163979509038986
Mexico,1990,83943132,81720428.0,60961783,58363912.0,2222704.0,2.683395189624079,2597871.0,4.354252451661815
Mexico,2000,98899845,97873442.0,76007411,73132993.0,1026403.0,1.0432340849192603,2874418.0,3.854646927200224
Mexico,2010,114092963,112532401.0,91292115,87567088.0,1560562.0,1.377217423906708,3725027.0,4.165317677279374
Mexico,2020,128932753,125998302.0,108074410,101719689.0,2934451.0,2.302152634954576,6354721.0,6.0580550456759985
Mexico,2020,128932753,125998302.0,108074410,101719689.0,2934451.0,2.302152634954576,6354721.0,6.0580550456759985
United Arab Emirates,1960,92418,133426.0,68086,98068.0,-41008.0,36.31533270753263,-29982.0,36.08941102832312
United Arab Emirates,1970,234514,298084.0,187928,237871.0,-63570.0,23.871663055437683,-49943.0,23.458486281085676
United Arab Emirates,1980,1019509,1014048.0,841303,818438.0,5461.0,0.5370884612528688,22865.0,2.7552491623693096
United Arab Emirates,1990,1828432,1900151.0,1470491,1502088.0,-71719.0,3.846984229665801,-31597.0,2.1258980837851578
United Arab Emirates,2000,3134062,3275333.0,2531398,2627996.0,-141271.0,4.408247580309841,-96598.0,3.744548293850014
United Arab Emirates,2010,8549988,8481771.0,6954593,7132067.0,68217.0,0.8010564264090396,-177474.0,2.5197456316827407
United Arab Emirates,2020,9890402,9287289.0,8542144,8084399.0,603113.0,6.289735297122057,457745.0,5.506195725713998
United Arab Emirates,2020,9890402,9287289.0,8542144,8084399.0,603113.0,6.289735297122057,457745.0,5.506195725713998
United States,1960,186720571,180671000.0,130757407,126462473.0,6049571.0,3.293255195558093,4294934.0,3.3395039294785454
United States,1970,209513341,205052000.0,154262109,150922373.0,4461341.0,2.1522981102272123,3339736.0,2.188666984712545
United States,1980,229476354,227225000.0,169422683,167551171.0,2251354.0,0.98591956440751,1871512.0,1.1107757933053168
United States,1990,252120309,249623000.0,190156233,187966119.0,2497309.0,0.9954528362230736,2190114.0,1.1584155173138244
United States,2000,281710909,282162411.0,222927913,223069137.0,-451502.0,0.16014306192036185,-141224.0,0.06332956686596919
United States,2010,309011475,309327143.0,249297076,249849720.0,-315668.0,0.10210198451489892,-552644.0,0.2214354592391293
United States,2020,331002651,331526933.0,273975139,274053424.0,-524282.0,0.15826674390437484,-78285.0,0.02856967876690763
United States,2020,331002651,331526933.0,273975139,274053424.0,-524282.0,0.15826674390437484,-78285.0,0.02856967876690763
